,Low,High,Open,Close,Volume_BTC,,,,,,
1.70408E+12,42622.55,42644.8,42610.12,42644.8,20.75786,1.70408E+12,884913.5334,794,12.031,512868.9947,0
1.70408E+12,42642.85,42645.2,42635.91,42641.24,2.78141,1.70408E+12,118601.8341,250,1.0951,46697.89196,0
1.70408E+12,42642.13,42647.76,42601.62,42603.34,18.62823,1.70408E+12,794072.3709,1203,7.27883,310298.9328,0
1.70408E+12,42601.45,42610,42594.01,42607.55,9.82172,1.70408E+12,418419.9374,573,4.87966,207889.8214,0
1.70408E+12,42608,42630.96,42605.11,42623.16,9.7813,1.70408E+12,416884.8154,755,5.40907,230536.0855,0
1.70408E+12,42622.77,42625.89,42605.13,42619.74,12.79414,1.70408E+12,545241.622,746,7.82149,333332.209,0
1.70408E+12,42618.29,42618.64,42595.37,42603.21,20.55993,1.70408E+12,875949.5611,947,8.87678,378199.3429,0
1.70408E+12,42603.21,42610.64,42587.58,42593.97,17.49103,1.70408E+12,745093.1565,984,8.2628,352016.5267,0
1.70408E+12,42593.33,42599.23,42589.53,42592.93,7.27074,1.70408E+12,309695.4016,653,3.67761,156651.1439,0
1.70408E+12,42592.93,42601.88,42589.89,42591.16,12.60242,1.70408E+12,536801.4618,605,6.0704,258580.2268,0
1.70408E+12,42590.1,42602.14,42577.16,42601.99,23.10241,1.70408E+12,983949.902,1420,9.90966,422084.3525,0
1.70408E+12,42601.98,42610,42577.53,42582,20.22326,1.70408E+12,861399.1417,1032,7.12923,303675.6871,0
1.70408E+12,42582.5,42585.46,42547.22,42555.27,21.40384,1.70408E+12,911047.9763,1628,7.85947,334538.1745,0
1.70408E+12,42555.26,42557.16,42528,42538.92,27.08373,1.70408E+12,1152116.555,1714,11.69086,497318.8342,0
1.70408E+12,42539.06,42540,42516.18,42526.24,11.64609,1.70408E+12,495276.3853,976,5.05116,214821.8945,0
1.70408E+12,42527.99,42535.91,42518.92,42526.13,14.10853,1.70408E+12,600016.0987,921,5.90071,250956.6515,0
1.70408E+12,42527.87,42546.64,42514.99,42518.77,18.51915,1.70408E+12,787606.6118,1043,8.35884,355510.0677,0
1.70408E+12,42519.12,42527.44,42501.9,42520.04,20.93499,1.70408E+12,890056.5139,1124,9.14877,388972.7559,0
1.70408E+12,42520.81,42530.94,42507.76,42514.64,17.36303,1.70408E+12,738227.3388,904,6.53098,277709.9299,0
1.70408E+12,42512.46,42525.97,42504.76,42523.47,15.01235,1.70408E+12,638272.8933,614,12.08705,513914.1286,0
1.70408E+12,42525.2,42536.69,42497.09,42499.99,14.81619,1.70408E+12,629882.0146,975,4.21241,179107.2248,0
1.70408E+12,42501.1,42503.3,42475.41,42484.29,18.2117,1.70408E+12,773826.7287,1324,8.70029,369700.3697,0
